OH 1837-05     ,280.09129167, -4.95297222,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
NML Cyg        ,311.60641667,+40.11650000,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC +10011     ,016.60825000,+12.59805556,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
OH 26.5+0.6    ,279.38545833, -5.39977778,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
NML Cyg        ,311.60641667,+40.11650000,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC -20540     ,287.22758333,-22.23872222,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
OH 26.5+0.6    ,279.38545833, -5.39977778,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
OH 1854+02     ,284.36250000, +2.19666667,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
R Aql          ,286.59270833, +8.23000000,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC +50137     ,077.83100000,+52.87588889,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
U Ori          ,088.95487500,+20.17525000,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
W43 A          ,281.92070833, -1.74872222,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
VY CMa         ,110.74304167,-25.76755556,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
VX Sgr         ,272.01687500,-22.22405556,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC -20540     ,287.22758333,-22.23872222,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
S Per          ,035.71549167,+58.58654722,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
S Per          ,035.71549167,+58.58654722,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
S Per          ,035.71549167,+58.58654722,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
U Her          ,246.44779583,+18.89246389,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC -20197     ,146.31341667,-22.02926389,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
VY CMa         ,110.74285417,-25.76752222,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC +40156     ,098.31541667,+40.71413333,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
U Ori          ,088.95475000,+20.17521389,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
IRC +50137     ,077.83072500,+52.87601667,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
OH231.8+4.2    ,115.57030000,-14.71387500,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
OH 37.1-0.8    ,285.52578750, +3.33784444,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
VX Sgr         ,272.01686667,-22.22405833,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
U Her          ,246.44779583,+18.89246389,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
U Her          ,246.44779583,+18.89246389,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
R Cas          ,359.60363333,+51.38880556,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
R Cas          ,359.60363333,+51.38880556,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
W Hya          ,207.25832500,-28.36763611,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
W Hya          ,207.25832500,-28.36763611,Database of circumstellar OH masers (Engels+ 2015),	J_A_A_582_A68_maps:
